,context,duration,end_time,request_no,simulation_name,start_time,status
0,USER,0,2018-06-17 20:05:22.962,1,Slim Categorization Coldstart-scenario,2018-06-17 20:05:22.962,START
1,USER,0,2018-06-17 20:05:23.009,2,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.009,START
2,USER,0,2018-06-17 20:05:23.010,3,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.010,START
3,USER,0,2018-06-17 20:05:23.011,4,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.011,START
4,USER,0,2018-06-17 20:05:23.012,5,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.012,START
5,USER,0,2018-06-17 20:05:23.013,6,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.013,START
6,USER,0,2018-06-17 20:05:23.014,7,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.014,START
7,USER,0,2018-06-17 20:05:23.015,8,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.015,START
8,USER,0,2018-06-17 20:05:23.018,9,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.018,START
9,USER,0,2018-06-17 20:05:23.019,10,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.019,START
10,USER,0,2018-06-17 20:05:23.020,11,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.020,START
11,USER,0,2018-06-17 20:05:23.020,12,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.020,START
12,USER,0,2018-06-17 20:05:23.021,13,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.021,START
13,USER,0,2018-06-17 20:05:23.023,14,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.023,START
14,USER,0,2018-06-17 20:05:23.024,15,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.024,START
15,USER,0,2018-06-17 20:05:23.028,16,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.028,START
16,USER,0,2018-06-17 20:05:23.029,17,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.029,START
17,USER,0,2018-06-17 20:05:23.030,18,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.030,START
18,USER,0,2018-06-17 20:05:23.032,19,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.032,START
19,USER,0,2018-06-17 20:05:23.033,20,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.033,START
20,USER,0,2018-06-17 20:05:23.034,21,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.034,START
21,USER,0,2018-06-17 20:05:23.039,22,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.039,START
22,USER,0,2018-06-17 20:05:23.051,23,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.051,START
23,USER,0,2018-06-17 20:05:23.059,24,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.059,START
24,USER,0,2018-06-17 20:05:23.062,25,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.062,START
